         13921923 function calls (12873736 primitive calls) in 13.289 seconds

   Ordered by: cumulative time
   List reduced from 20775 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   13.318   13.318 D:\PythonProject\kotaemon\libs\slide_cli\slide_cli\docqa_runtime.py:115(create_docqa_runtime)
  5076/51    0.031    0.000   13.068    0.256 <frozen importlib._bootstrap>:1022(_find_and_load)
  4970/38    0.018    0.000   13.067    0.344 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
  4776/45    0.018    0.000   13.048    0.290 <frozen importlib._bootstrap>:664(_load_unlocked)
  4523/41    0.013    0.000   13.046    0.318 <frozen importlib._bootstrap_external>:877(exec_module)
  5821/41    0.004    0.000   13.023    0.318 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
  5861/54    0.199    0.000   13.005    0.241 {built-in method builtins.exec}
  888/160    0.003    0.000   11.187    0.070 {built-in method builtins.__import__}
10099/9876    0.269    0.000    5.283    0.001 {built-in method builtins.__build_class__}
        1    0.000    0.000    5.227    5.227 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\__init__.py:1(<module>)
        1    0.000    0.000    5.224    5.224 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\runtime.py:1(<module>)
        1    0.000    0.000    4.818    4.818 D:\PythonProject\kotaemon\libs\ktem\ktem\components.py:1(<module>)
5563/3198    0.008    0.000    4.391    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     4523    0.043    0.000    4.055    0.001 <frozen importlib._bootstrap_external>:950(get_code)
  164/135    0.000    0.000    4.053    0.030 C:\Users\22826\AppData\Roaming\uv\python\cpython-3.10.19-windows-x86_64-none\lib\importlib\__init__.py:108(import_module)
  176/135    0.000    0.000    4.053    0.030 <frozen importlib._bootstrap>:1038(_gcd_import)
        1    0.000    0.000    4.001    4.001 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\runtime.py:46(__init__)
      9/8    0.000    0.000    4.001    0.500 C:\Users\22826\AppData\Roaming\uv\python\cpython-3.10.19-windows-x86_64-none\lib\importlib\util.py:73(find_spec)
        1    0.000    0.000    3.999    3.999 D:\PythonProject\kotaemon\libs\slide_cli\slide_cli\docqa_runtime.py:84(ensure_llama_index_nltk_cache)
        1    0.000    0.000    3.996    3.996 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\__init__.py:1(<module>)
        1    0.000    0.000    3.991    3.991 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\_runtime_app.py:11(__init__)
        1    0.000    0.000    3.656    3.656 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\storages\__init__.py:1(<module>)
        1    0.000    0.000    3.646    3.646 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\storages\vectorstores\__init__.py:1(<module>)
     4523    0.019    0.000    3.393    0.001 <frozen importlib._bootstrap_external>:1070(get_data)
  293/157    0.000    0.000    3.250    0.021 D:\PythonProject\kotaemon\.venv\lib\site-packages\theflow\utils\modules.py:12(import_dotted_string)
     4523    3.082    0.001    3.082    0.001 {built-in method io.open_code}
        1    0.000    0.000    2.681    2.681 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\_runtime_app.py:47(register_reasonings)
        1    0.000    0.000    2.503    2.503 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\base\response\schema.py:1(<module>)
        1    0.000    0.000    2.405    2.405 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\storages\vectorstores\lancedb.py:1(<module>)
        1    0.000    0.000    2.404    2.404 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\vector_stores\lancedb\__init__.py:1(<module>)
        1    0.000    0.000    2.403    2.403 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\vector_stores\lancedb\base.py:1(<module>)
        1    0.000    0.000    2.395    2.395 D:\PythonProject\kotaemon\.venv\lib\site-packages\lancedb\__init__.py:1(<module>)
        1    0.000    0.000    2.257    2.257 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\schema.py:1(<module>)
        1    0.000    0.000    2.162    2.162 D:\PythonProject\kotaemon\libs\ktem\ktem\reasoning\simple.py:1(<module>)
        1    0.000    0.000    2.154    2.154 D:\PythonProject\kotaemon\.venv\lib\site-packages\lancedb\namespace.py:1(<module>)
        1    0.000    0.000    2.145    2.145 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\utils.py:1(<module>)
        1    0.000    0.000    2.144    2.144 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\utils.py:43(__init__)
        1    0.000    0.000    2.142    2.142 D:\PythonProject\kotaemon\.venv\lib\site-packages\lance_namespace\__init__.py:1(<module>)
        1    0.000    0.000    2.141    2.141 D:\PythonProject\kotaemon\.venv\lib\site-packages\nltk\__init__.py:1(<module>)
        1    0.000    0.000    2.140    2.140 D:\PythonProject\kotaemon\.venv\lib\site-packages\lance_namespace\namespace.py:1(<module>)
        1    0.000    0.000    2.138    2.138 D:\PythonProject\kotaemon\.venv\lib\site-packages\lance_namespace_urllib3_client\__init__.py:1(<module>)
        1    0.000    0.000    2.136    2.136 D:\PythonProject\kotaemon\.venv\lib\site-packages\lance_namespace_urllib3_client\api\__init__.py:1(<module>)
      258    0.001    0.000    1.504    0.006 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\validate_call_decorator.py:82(validate_call)
      258    0.002    0.000    1.503    0.006 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\validate_call_decorator.py:105(validate)
      258    0.004    0.000    1.471    0.006 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_validate_call.py:53(__init__)
        1    0.000    0.000    1.434    1.434 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\indices\__init__.py:1(<module>)
 4353/444    0.011    0.000    1.403    0.003 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:575(generate_schema)
 9259/444    0.015    0.000    1.394    0.003 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:861(_generate_schema_inner)
189023/180315    0.049    0.000    1.287    0.000 {built-in method builtins.hasattr}
 6918/824    0.036    0.000    1.282    0.002 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:886(match_type)
     4875    0.040    0.000    1.234    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        1    0.000    0.000    1.233    1.233 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\storages\vectorstores\chroma.py:1(<module>)
        1    0.000    0.000    1.232    1.232 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\vector_stores\chroma\__init__.py:1(<module>)
        1    0.000    0.000    1.230    1.230 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\vector_stores\chroma\base.py:1(<module>)
        1    0.000    0.000    1.225    1.225 D:\PythonProject\kotaemon\.venv\lib\site-packages\chromadb\__init__.py:1(<module>)
      258    0.010    0.000    1.173    0.005 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:1811(_call_schema)
        1    0.000    0.000    1.170    1.170 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\_runtime_app.py:34(initialize_indices)
        1    0.000    0.000    1.169    1.169 D:\PythonProject\kotaemon\libs\ktem\ktem\index\manager.py:179(on_application_startup)
5251/3040    0.027    0.000    1.166    0.000 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:2015(_apply_annotations)
        3    0.000    0.000    1.161    0.387 D:\PythonProject\kotaemon\libs\ktem\ktem\index\manager.py:95(start_index)
     2424    0.016    0.000    1.123    0.000 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:1521(_generate_parameter_schema)
        1    0.000    0.000    1.102    1.102 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\base\__init__.py:1(<module>)
        1    0.000    0.000    1.100    1.100 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\base\component.py:1(<module>)
        1    0.000    0.000    1.098    1.098 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\base\schema.py:1(<module>)
     4868    0.005    0.000    1.087    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
12821/2622    0.011    0.000    1.083    0.000 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_schema_generation_shared.py:83(__call__)
4869/4868    0.151    0.000    1.082    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        1    0.000    0.000    1.056    1.056 D:\PythonProject\kotaemon\libs\ktem\ktem\reasoning\prompt_optimization\__init__.py:1(<module>)
        1    0.000    0.000    1.049    1.049 D:\PythonProject\kotaemon\.venv\lib\site-packages\nltk\chunk\__init__.py:1(<module>)
        1    0.000    0.000    1.044    1.044 D:\PythonProject\kotaemon\.venv\lib\site-packages\nltk\chunk\api.py:1(<module>)
        1    0.000    0.000    1.027    1.027 D:\PythonProject\kotaemon\libs\ktem\ktem\reasoning\prompt_optimization\fewshot_rewrite_question.py:1(<module>)
        1    0.000    0.000    1.026    1.026 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\embeddings\__init__.py:1(<module>)
        1    0.000    0.000    0.990    0.990 D:\PythonProject\kotaemon\.venv\lib\site-packages\langchain\schema\__init__.py:1(<module>)
  510/482    0.033    0.000    0.988    0.002 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\v1\main.py:122(__new__)
5210/3039    0.008    0.000    0.929    0.000 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:2034(inner_handler)
7427/2756    0.010    0.000    0.908    0.000 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:2130(new_handler)
     6190    0.046    0.000    0.863    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
7378/2716    0.003    0.000    0.857    0.000 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:2127(<lambda>)
        1    0.000    0.000    0.854    0.854 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\embeddings\openai.py:1(<module>)
        1    0.000    0.000    0.844    0.844 D:\PythonProject\kotaemon\.venv\lib\site-packages\openai\__init__.py:1(<module>)
