         13855081 function calls (12806659 primitive calls) in 12.104 seconds

   Ordered by: cumulative time
   List reduced from 20721 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   12.129   12.129 D:\PythonProject\kotaemon\libs\slide_cli\slide_cli\docqa_runtime.py:103(create_docqa_runtime)
  5078/50    0.030    0.000   11.864    0.237 <frozen importlib._bootstrap>:1022(_find_and_load)
  4972/37    0.017    0.000   11.862    0.321 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
  4776/43    0.017    0.000   11.846    0.275 <frozen importlib._bootstrap>:664(_load_unlocked)
  4523/40    0.012    0.000   11.845    0.296 <frozen importlib._bootstrap_external>:877(exec_module)
  5824/39    0.004    0.000   11.822    0.303 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
  5861/53    0.087    0.000   11.808    0.223 {built-in method builtins.exec}
  890/160    0.002    0.000   10.054    0.063 {built-in method builtins.__import__}
        1    0.000    0.000    8.128    8.128 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\__init__.py:1(<module>)
        1    0.000    0.000    8.127    8.127 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\runtime.py:1(<module>)
        1    0.000    0.000    7.739    7.739 D:\PythonProject\kotaemon\libs\ktem\ktem\components.py:1(<module>)
10099/9816    0.098    0.000    5.111    0.001 {built-in method builtins.__build_class__}
        1    0.000    0.000    4.288    4.288 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\base\__init__.py:1(<module>)
        1    0.000    0.000    4.287    4.287 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\base\component.py:1(<module>)
        1    0.000    0.000    4.286    4.286 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\base\schema.py:1(<module>)
5562/3193    0.008    0.000    4.197    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
  165/135    0.000    0.000    3.882    0.029 C:\Users\22826\AppData\Roaming\uv\python\cpython-3.10.19-windows-x86_64-none\lib\importlib\__init__.py:108(import_module)
  177/135    0.000    0.000    3.881    0.029 <frozen importlib._bootstrap>:1038(_gcd_import)
        1    0.000    0.000    3.877    3.877 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\runtime.py:46(__init__)
        1    0.000    0.000    3.868    3.868 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\_runtime_app.py:11(__init__)
     4523    0.041    0.000    3.572    0.001 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    3.396    3.396 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\__init__.py:1(<module>)
        1    0.000    0.000    3.219    3.219 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\storages\__init__.py:1(<module>)
        1    0.000    0.000    3.211    3.211 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\storages\vectorstores\__init__.py:1(<module>)
  293/157    0.000    0.000    3.152    0.020 D:\PythonProject\kotaemon\.venv\lib\site-packages\theflow\utils\modules.py:12(import_dotted_string)
     4523    0.018    0.000    2.961    0.001 <frozen importlib._bootstrap_external>:1070(get_data)
     4523    2.658    0.001    2.658    0.001 {built-in method io.open_code}
        1    0.000    0.000    2.627    2.627 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\_runtime_app.py:47(register_reasonings)
        1    0.000    0.000    2.222    2.222 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\storages\vectorstores\lancedb.py:1(<module>)
        1    0.000    0.000    2.221    2.221 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\vector_stores\lancedb\__init__.py:1(<module>)
        1    0.000    0.000    2.219    2.219 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\vector_stores\lancedb\base.py:1(<module>)
        1    0.000    0.000    2.211    2.211 D:\PythonProject\kotaemon\.venv\lib\site-packages\lancedb\__init__.py:1(<module>)
        1    0.000    0.000    2.200    2.200 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\base\response\schema.py:1(<module>)
        1    0.000    0.000    2.142    2.142 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\schema.py:1(<module>)
        1    0.000    0.000    2.128    2.128 D:\PythonProject\kotaemon\libs\ktem\ktem\reasoning\simple.py:1(<module>)
        1    0.000    0.000    2.072    2.072 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\utils.py:1(<module>)
        1    0.000    0.000    2.071    2.071 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\utils.py:43(__init__)
        1    0.000    0.000    2.069    2.069 D:\PythonProject\kotaemon\.venv\lib\site-packages\nltk\__init__.py:1(<module>)
        1    0.000    0.000    1.997    1.997 D:\PythonProject\kotaemon\.venv\lib\site-packages\lancedb\namespace.py:1(<module>)
        1    0.000    0.000    1.986    1.986 D:\PythonProject\kotaemon\.venv\lib\site-packages\lance_namespace\__init__.py:1(<module>)
        1    0.000    0.000    1.984    1.984 D:\PythonProject\kotaemon\.venv\lib\site-packages\lance_namespace\namespace.py:1(<module>)
        1    0.000    0.000    1.982    1.982 D:\PythonProject\kotaemon\.venv\lib\site-packages\lance_namespace_urllib3_client\__init__.py:1(<module>)
