         13945019 function calls (12836700 primitive calls) in 13.242 seconds

   Ordered by: cumulative time
   List reduced from 20702 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   13.270   13.270 D:\PythonProject\kotaemon\libs\slide_cli\slide_cli\docqa_runtime.py:103(create_docqa_runtime)
  5067/55    0.031    0.000   12.996    0.236 <frozen importlib._bootstrap>:1022(_find_and_load)
  4959/40    0.019    0.000   12.994    0.325 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
  4764/46    0.019    0.000   12.975    0.282 <frozen importlib._bootstrap>:664(_load_unlocked)
  4511/43    0.013    0.000   12.973    0.302 <frozen importlib._bootstrap_external>:877(exec_module)
  5811/42    0.004    0.000   12.949    0.308 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
  5849/56    0.223    0.000   12.933    0.231 {built-in method builtins.exec}
  889/163    0.003    0.000   10.932    0.067 {built-in method builtins.__import__}
        1    0.000    0.000    7.728    7.728 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\runtime.py:46(__init__)
        1    0.000    0.000    7.718    7.718 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\_runtime_app.py:11(__init__)
10089/9806    0.108    0.000    5.452    0.001 {built-in method builtins.__build_class__}
        1    0.000    0.000    5.394    5.394 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\__init__.py:1(<module>)
        1    0.000    0.000    5.392    5.392 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\runtime.py:1(<module>)
   173/87    0.000    0.000    5.086    0.058 C:\Users\22826\AppData\Roaming\uv\python\cpython-3.10.19-windows-x86_64-none\lib\importlib\__init__.py:108(import_module)
   185/87    0.000    0.000    5.086    0.058 <frozen importlib._bootstrap>:1038(_gcd_import)
        1    0.000    0.000    4.978    4.978 D:\PythonProject\kotaemon\libs\ktem\ktem\components.py:1(<module>)
        1    0.000    0.000    4.686    4.686 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\base\__init__.py:1(<module>)
        1    0.000    0.000    4.685    4.685 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\base\component.py:1(<module>)
        1    0.000    0.000    4.683    4.683 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\base\schema.py:1(<module>)
        1    0.000    0.000    4.646    4.646 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\_runtime_app.py:34(initialize_indices)
        1    0.000    0.000    4.645    4.645 D:\PythonProject\kotaemon\libs\ktem\ktem\index\manager.py:179(on_application_startup)
        3    0.000    0.000    4.638    1.546 D:\PythonProject\kotaemon\libs\ktem\ktem\index\manager.py:95(start_index)
  293/157    0.000    0.000    4.333    0.028 D:\PythonProject\kotaemon\.venv\lib\site-packages\theflow\utils\modules.py:12(import_dotted_string)
5553/3180    0.008    0.000    4.163    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        3    0.000    0.000    4.003    1.334 D:\PythonProject\kotaemon\libs\ktem\ktem\index\file\index.py:360(on_start)
     4511    0.044    0.000    3.925    0.001 <frozen importlib._bootstrap_external>:950(get_code)
    88/41    0.000    0.000    3.818    0.093 D:\PythonProject\kotaemon\.venv\lib\site-packages\theflow\utils\modules.py:144(deserialize)
        3    0.000    0.000    3.794    1.265 D:\PythonProject\kotaemon\libs\ktem\ktem\index\file\index.py:53(_setup_resources)
        1    0.000    0.000    3.737    3.737 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\__init__.py:1(<module>)
     4511    0.019    0.000    3.275    0.001 <frozen importlib._bootstrap_external>:1070(get_data)
     4511    2.959    0.001    2.959    0.001 {built-in method io.open_code}
        1    0.000    0.000    2.901    2.901 D:\PythonProject\kotaemon\libs\ktem\ktem\docqa\_runtime_app.py:47(register_reasonings)
        3    0.000    0.000    2.627    0.876 D:\PythonProject\kotaemon\libs\ktem\ktem\components.py:21(get_docstore)
        3    0.000    0.000    2.625    0.875 D:\PythonProject\kotaemon\libs\kotaemon\kotaemon\storages\docstores\lancedb.py:14(__init__)
        1    0.000    0.000    2.617    2.617 D:\PythonProject\kotaemon\.venv\lib\site-packages\lancedb\__init__.py:1(<module>)
        1    0.000    0.000    2.433    2.433 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\base\response\schema.py:1(<module>)
        1    0.000    0.000    2.376    2.376 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\schema.py:1(<module>)
        1    0.000    0.000    2.372    2.372 D:\PythonProject\kotaemon\.venv\lib\site-packages\lancedb\namespace.py:1(<module>)
        1    0.000    0.000    2.360    2.360 D:\PythonProject\kotaemon\.venv\lib\site-packages\lance_namespace\__init__.py:1(<module>)
        1    0.000    0.000    2.359    2.359 D:\PythonProject\kotaemon\.venv\lib\site-packages\lance_namespace\namespace.py:1(<module>)
        1    0.000    0.000    2.358    2.358 D:\PythonProject\kotaemon\.venv\lib\site-packages\lance_namespace_urllib3_client\__init__.py:1(<module>)
        1    0.000    0.000    2.356    2.356 D:\PythonProject\kotaemon\.venv\lib\site-packages\lance_namespace_urllib3_client\api\__init__.py:1(<module>)
        1    0.000    0.000    2.322    2.322 D:\PythonProject\kotaemon\libs\ktem\ktem\reasoning\simple.py:1(<module>)
        1    0.000    0.000    2.302    2.302 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\utils.py:1(<module>)
        1    0.000    0.000    2.301    2.301 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\utils.py:43(__init__)
        1    0.000    0.000    2.298    2.298 D:\PythonProject\kotaemon\.venv\lib\site-packages\nltk\__init__.py:1(<module>)
 4353/444    0.010    0.000    1.657    0.004 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:575(generate_schema)
510779/462247    0.132    0.000    1.650    0.000 {built-in method builtins.getattr}
 9259/444    0.014    0.000    1.648    0.004 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:861(_generate_schema_inner)
 6918/824    0.035    0.000    1.536    0.002 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:886(match_type)
      258    0.001    0.000    1.474    0.006 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\validate_call_decorator.py:82(validate_call)
      258    0.002    0.000    1.472    0.006 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\validate_call_decorator.py:105(validate)
      258    0.004    0.000    1.443    0.006 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_validate_call.py:53(__init__)
5251/3040    0.027    0.000    1.427    0.000 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:2015(_apply_annotations)
12821/2622    0.011    0.000    1.342    0.001 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_schema_generation_shared.py:83(__call__)
        1    0.000    0.000    1.265    1.265 D:\PythonProject\kotaemon\.venv\lib\site-packages\nltk\chunk\__init__.py:1(<module>)
        1    0.000    0.000    1.260    1.260 D:\PythonProject\kotaemon\.venv\lib\site-packages\nltk\chunk\api.py:1(<module>)
        1    0.000    0.000    1.250    1.250 D:\PythonProject\kotaemon\.venv\lib\site-packages\llama_index\core\indices\__init__.py:1(<module>)
5210/3039    0.008    0.000    1.194    0.000 D:\PythonProject\kotaemon\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:2034(inner_handler)
        1    0.000    0.000    1.164    1.164 D:\PythonProject\kotaemon\libs\ktem\ktem\reasoning\prompt_optimization\__init__.py:1(<module>)


